id,file,stage,english,target,romanisation
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","ਕੀ ਤੁਹਾਨੂੰ ਕਿਸੇ ਦਵਾਈ ਤੋਂ ਐਲਰਜੀ ਹੈ?","kee tu-hah-noo kih-say duh-vye tone al-ler-jee hay?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","ਹੁਣ ਤੁਹਾਡੀ ਅੱਖ ਵਿੱਚ ਬੂੰਦਾਂ ਪਾਉਣੀਆਂ ਹਨ।","hun tu-hah-dee ukh vich boon-daan pow-nee-yan hun"
"s04-03","s04-03.m4a","Drops","Please look up.","ਕਿਰਪਾ ਕਰਕੇ ਉੱਪਰ ਦੇਖੋ।","kir-pa kar-kay oop-par day-koe"
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","ਇਹ ਅੱਖ ਸੁੰਨ ਕਰਨ ਵਾਲੀ ਦਵਾਈ ਹੈ। ਕੁਝ ਸਕਿੰਟ ਚੁਭ ਸਕਦੀ ਹੈ।","ih ukh soon kuh-ran vah-lee duh-vye hay. kuj sa-kint chubh suk-dee hay"
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","ਇਹ ਬੂੰਦ ਪੁਤਲੀ ਖੋਲ੍ਹ ਦੇਵੇਗੀ।","ih boond poot-lee kohl day-vay-gee"
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","ਨਜ਼ਰ ਲਗਭਗ ਛੇ ਘੰਟੇ ਧੁੰਦਲੀ ਰਹੇਗੀ।","nuh-zar lug-bhug chay ghun-tay dhoond-lee ruh-hay-gee"
"s04-07","s04-07.m4a","Drops","Please close your eyes.","ਕਿਰਪਾ ਕਰਕੇ ਅੱਖਾਂ ਬੰਦ ਕਰੋ।","kir-pa kar-kay uh-khan bund kuh-roe"
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","ਅੱਖਾਂ ਨਾ ਮਲੋ।","uh-khan na mah-loe"
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest, forehead against the bar.","ਠੋਡੀ ਇੱਥੇ ਰੱਖੋ, ਮੱਥਾ ਇਸ ਪੱਟੀ ਨਾਲ ਲਗਾਓ।","toe-dee ih-thay ruh-koe, mut-tha iss put-tee null lug-ah-oh"
"s05-02","s05-02.m4a","Slit lamp","Open your eyes.","ਅੱਖਾਂ ਖੋਲ੍ਹੋ।","uh-khan koh-loe"
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","ਸਿਰ ਪਿੱਛੇ ਨਾ ਕਰੋ।","sir pih-chay na kuh-roe"
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","ਰੌਸ਼ਨੀ ਤੇਜ਼ ਹੈ। ਥੋੜ੍ਹਾ ਬਰਦਾਸ਼ਤ ਕਰੋ।","rowsh-nee tayz hay. tore-ha bar-dasht kuh-roe"
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","ਮੇਰੇ ਕੰਨ ਵੱਲ ਦੇਖੋ।","may-ray kunn vull day-koe"
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","ਹੁਣ ਤੁਹਾਡੀ ਪਲਕ ਨੂੰ ਛੂਹਣਾ ਹੈ।","hun tu-hah-dee puh-luck noo chooh-na hay"
"s05-07","s05-07.m4a","Slit lamp","Almost done.","ਲਗਭਗ ਹੋ ਗਿਆ।","lug-bhug hoe gee-ah"
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","ਜਾਂਚ ਪੂਰੀ ਹੋ ਗਈ। ਧੰਨਵਾਦ।","jaanch poo-ree hoe guy. dhun-vaad"
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","ਨਤੀਜੇ ਸਮਝਾਉਣ ਲਈ ਦੁਭਾਸ਼ੀਏ ਦੀ ਵਰਤੋਂ ਕੀਤੀ ਜਾਵੇਗੀ।","nuh-tee-jay sum-jhown lye du-bhah-shee-yay dee var-tone kee-tee jah-vay-gee"
